Alignment,Character,Combat,Creator,Durability,Gender,Height,IQ,Intelligence,Level,Place_of_birth,Power,Species,Speed,Speed_velocity,Strength,Strength_force,Super_powers,Tier,Universe,Weight,combat_str,durability_str,height_str,intelligence_str,level_str,power_str,speed_str,speed_velocity_str,strength_str,strength_force_str,tier_str,weight_str,name,img_links
Good,theangelus,100,Top Cow Productions,100,Female,-,200,100,6,Unknown,100,None,100,1000000000,100,1000000000,"nigh-omnipotence,nigh-omniscience,omnipresence",7,Earth-616,-,combat96to100,durability100,heighthuge,intelligence96to100,level6,power96to100,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier7,weightunknown,The Angelus,https://static.wikia.nocookie.net/villains/images/c/c2/Warning.gif/revision/latest/scale-to-width-down/95?cb=20190420195710
Good,tempest,40,DC Comics,25,Male,-,140,70,3,Unknown,65,Atlantean,20,36,25,8000,"amphibiousrespiration,animalcontrol,durability,enhancedhearing,enhancedsight,enhancedsmell,jump,magic,stamina,sub-mariner,superspeed,superstrength,underwaterbreathing,watercontrol,acceleratedhealing,astraltravel,coldresistance,cryokinesis,dimensionaltravel,energybeams,energyblasts,flight,heatgeneration,heatresistance,invisibility,levitation,powersense,telekinesis,telepathy,teleportation,timetravel,vision-heat",4,Prime Earth,-,combat36to40,durability25,heighthuge,intelligence66to70,level3,power61to65,speed16to20,sv1-1000,strength21to25,sf5001-10000,tier4,weightunknown,Tempest,https://static.wikia.nocookie.net/superheroes/images/3/31/Angel-salvadore.jpg/revision/latest?cb=20141201123256
Bad,thanoseid,100,Amalgam Comics,100,Male,-,200,100,6,Unknown,100,God / Eternal,100,1000000000,100,1000000000,"acceleratedhealing,acidresistants,agemanipulation,agility,animalcontrol,antimattermanipulation,astralprojection,banish,berserkmode,causalityresistance,clairvoyance,clairvoyanceresistance,coldresistance,conceptualmanipulation,corruption,corruptionresistance,cosmicawareness,cursemanipulation,curseresistance,damageboost,damagereduction,damagetransferal,darkmattermanipulation,darkforcemanipulation,dexterity,dimensionalawareness,dimensionaltravel,dreammanipulation,durability,durabilitynegation,electricityresistance,emotionalpowerup,empathy,endurance,energyabsorption,energyarmor,energybeams,energyblasts,energyconstructs,energyembodiment,energymanipulation,energyresistance,enhancedhearing,enhancedmemory,enhancedsight,enhancedsmell,enhancedtouch,existenceerasure,extrasensoryperception,fearmanipulation,firecontrol,fireresistance,flight,forcefields,godlyphysiology,gravitycontrol,hacking,heatgeneration,heatresistance,illusionresistance,immortality,indomitablewill,informationanalysis,insanity,intelligence,interstellartravel,invulnerability,jump,largesize,levitation,longevity,magic,magicresistance,marksmanship,mastermartialartist,mastertactician,matterabsorption,mattermanipulation,mindblast,mindcontrol,mindcontrolresistance,molecularcombustion,moleculardissipation,molecularimmobilization,molecularmanipulation,molecularoscillation,omegaeffect,omegasanction,painmanipulation,painsuppression,portalcreation,powerabsorption,powerabsorptionimmunity,poweraugmentation,powerbestowal,powernullifier,powersense,preparation,projection,psionicpowers,purification,radiationimmunity,realitywarping,realitywarpingresistance,reflexes,regeneration,resurrection,sealing,shockwavesgeneration,sizechanging,soulresistance,spaceflight,stamina,telepathyresistance,teleportation,timemanipulationresistance,toxinanddiseaseresistance,underwaterbreathing,vaporisingbeams,vehicularmastery,vision-night,weaponsmaster,weathercontrol,attackreflection,causalitymanipulation,darkarts,deathmanipulation,divinity,existenceerasureresistance,hellfireresistance,higherdimensionalmanipulation,holyresistance,homingattack,illusions,intuitiveaptitude,mindtransfer,omnilingualism,possession,possessionresistance,powermimicry,soulmanipulation,telekinesis,telepathy,timemanipulation,timetravel,vision-microscopic,vision-telescopic",8,Earth-9602,-,combat96to100,durability100,heighthuge,intelligence96to100,level6,power96to100,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier8,weightunknown,Thanoseid,https://static.wikia.nocookie.net/villains/images/a/a7/Thanoseid.jpg/revision/latest?cb=20111008213220
Bad,thanos,100,Marvel Comics,100,Male,"200.7 cm • 6'7""",200,100,6,Titan,100,Eternal,100,1000000000,100,1000000000,"accelerateddevelopment,acceleratedhealing,antimattermanipulation,arcanemagic,arcanemagic,astralprojection,astraltrap,astraltravel,astroforce,awakenedpower,banish,bullettime,coldresistance,conceptualmanipulation,corruptionresistance,cosmicawareness,creation,damageboost,damagereduction,damagetransferal,dangersense,darkforcemanipulation,deathmanipulation,densitycontrol,dexterity,dimensionalawareness,dimensionaltravel,dreammanipulation,durability,electricityresistance,electro-magnetismmanipulation,electrokinesis,elementcontrol,elementaltransmogrification,emotionalpowerup,empathy,endurance,energyabsorption,energyarmor,energybeams,energyblasts,energyembodiment,energymanipulation,energyresistance,enhancedhearing,enhancedmemory,enhancedsight,enhancedsmell,enhancedthievery,enhancedtouch,existenceerasure,existenceerasureresistance,fateresistance,firecontrol,fireresistance,flight,forcefields,heatresistance,hellfiremanipulation,hellfireresistance,immortality,indomitablewill,insanity,intelligence,interstellartravel,invulnerability,magic,magicresistance,matterabsorption,mattermanipulation,mindblast,mindcontrol,mindcontrolresistance,molecularmanipulation,portalcreation,possessionresistance,powerabsorption,powerabsorptionimmunity,poweraugmentation,powermodification,powernullifier,preparation,projection,psionicpowers,radiationimmunity,realitywarpingresistance,reflexes,regeneration,resurrection,sizechanging,soulresistance,spatialawareness,spatialmanipulation,summoning,superbreath,superspeed,superstrength,telekinesis,telepathy,telepathyresistance,teleportation,timemanipulation,timemanipulationresistance,timetravel,toxinanddiseaseresistance,unholyresistance,vaporisingbeams,vision-cryo,vision-infrared,vision-microscopic,vision-night,vision-telescopic,vision-thermal,vision-x-ray,vitakinesis,acrobatics,adaptation,agility,aura,berserkmode,biokinesis,bloodlust,clairvoyance,deathtouch,dimensionstorage,durabilitynegation,electricityabsorption,energyconstructs,entropyprojection,fearmanipulation,godlyphysiology,grimreaping,hacking,heatgeneration,holyresistance,hyperkinesis,hypnokinesis,illusions,intangibility,invisibility,jump,longevity,marksmanship,mastermartialartist,mindtransfer,neonblasts,plotmanipulation,powermimicryimmunity,powersense,ragepower,sealing,self-sustenance,separation,shapeshifting,sleepmanipulation,soulmanipulation,spatialcommunication,terrakinesis,vision-heat",9,Earth-616,446.8 kg • 985.03 lbs,combat96to100,durability100,height0-5,intelligence96to100,level6,power96to100,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier9,weight1-1000,Thanos (Post-Infinity Siblings),https://static.wikia.nocookie.net/villains/images/0/04/QuestionMark.png/revision/latest/scale-to-width-down/95?cb=20190713004703
Bad,thanos,100,Marvel Comics,100,Male,-,190,95,6,Titan,100,None,25,100,100,1000000000,"afterimagecreation,agility,astralprojection,astraltrap,astraltravel,blackholemanipulation,clairvoyanceresistance,coldresistance,corruptionresistance,creation,curseresistance,deathmanipulation,deconstruction,durability,electricityresistance,elementcontrol,energyabsorption,energybeams,energyblasts,energymanipulation,energyresistance,enhancedhearing,enhancedmemory,enhancedsight,entropyprojection,existenceerasure,existenceerasureresistance,firecontrol,fireresistance,forcefields,heatgeneration,heatresistance,illusions,intangibility,intelligence,interstellartravel,invisibility,invulnerability,magicresistance,mastermartialartist,mastertactician,mattermanipulation,portalcreation,possessionresistance,powerabsorption,powernullifier,projection,radiationimmunity,realitywarping,realitywarpingresistance,soulresistance,telekinesis,telepathyresistance,teleportation,terrakinesis,timemanipulationresistance,toxinanddiseaseresistance,vibrationmanipulation,weaponsmaster,animalcontrol,antimattermanipulation,attackreflection,dexterity,fusion,illusionresistance,lifemanipulation,matterabsorption,molecularmanipulation,painmanipulation,petrification,powerabsorptionimmunity,radiationabsorption,radiationcontrol,spatialmanipulation,statisticsamplification,timemanipulation,timetravel,transformation,vehicularmastery,vortexcreation",6,MCU,-,combat96to100,durability100,heighthuge,intelligence91to95,level6,power96to100,speed21to25,sv1-1000,strength96to100,sf100000001-1000000000,tier6,weightunknown,Thanos (Infinity Gauntlet),https://static.wikia.nocookie.net/villains/images/0/04/QuestionMark.png/revision/latest/scale-to-width-down/95?cb=20190713004703
Bad,thanos,100,Marvel Comics,100,Male,"203.2 cm • 6'8""",200,100,6,Titan,100,Titanian,100,1000000000,100,1000000000,"nigh-omnipotence,nigh-omniscience,omnipresence",9,Earth-616,446.8 kg • 985.03 lbs,combat96to100,durability100,height0-5,intelligence96to100,level6,power96to100,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier9,weight1-1000,Thanos (Heart Of The Universe),https://static.wikia.nocookie.net/villains/images/0/04/QuestionMark.png/revision/latest/scale-to-width-down/95?cb=20190713004703
Bad,thanos,100,Marvel Comics,100,Male,-,200,100,6,Unknown,100,Alien,100,1000000000,100,1000000000,"nigh-omnipotence,nigh-omnipresence,nigh-omniscience",8,Earth-616,-,combat96to100,durability100,heighthuge,intelligence96to100,level6,power96to100,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier8,weightunknown,Thanos (God Quarry),https://static.wikia.nocookie.net/villains/images/0/04/QuestionMark.png/revision/latest/scale-to-width-down/95?cb=20190713004703
Bad,thanos,100,Marvel Comics,100,Male,-,200,100,6,Unknown,100,God / Eternal,100,1000000000,100,1000000000,"adaptation,agemanipulation,antimattermanipulation,astralprojection,banish,blackholemanipulation,bloodlust,bullettime,causalitymanipulation,causalityresistance,coldresistance,cosmicawareness,cursemanipulation,darkarts,datamanipulation,deathmanipulation,dexterity,dimensionaltravel,durability,electricityresistance,elementcontrol,endurance,energyabsorption,energybeams,energyblasts,energymanipulation,energyresistance,existenceerasure,existenceerasureresistance,fearinducement,firecontrol,fireresistance,flight,hacking,heatresistance,hellfireresistance,homingattack,illusionresistance,illusions,immortality,insanity,intelligence,interstellartravel,largesize,lifemanipulation,madnessmanipulation,magicresistance,matterabsorption,mattermanipulation,memorymanipulation,mindcontrol,mindcontrolresistance,nigh-omnipresence,nigh-omniscience,non-corporeal,non-physicalinteraction,omnilingualism,plantcontrol,portalcreation,powerabsorption,powernullifier,projection,radiationimmunity,rageinducement,realitywarping,realitywarpingresistance,regeneration,resurrection,sealing,sizechanging,soulmanipulation,soulresistance,spatialmanipulation,statisticsamplification,statisticsreduction,statuseffectinducement,subjectivereality,summoning,superspeed,superstrength,telekinesis,telepathy,telepathyresistance,teleportation,timemanipulation,timemanipulationresistance,timetravel,toxinanddiseaseresistance,unholyresistance,weapon-basedpowers,attacknegation,attackreflection,chimanipulation,curseresistance,damageboost,damagereduction,damagetransferal,forcefields,nanotechnology,petrification,possession,possessionresistance,powerabsorptionimmunity,reflexes,spaceflight,stealth,transformation",8,Earth-1610,-,combat96to100,durability100,heighthuge,intelligence96to100,level6,power96to100,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier8,weightunknown,Thanos (Cosmic Cube),https://static.wikia.nocookie.net/villains/images/0/04/QuestionMark.png/revision/latest/scale-to-width-down/95?cb=20190713004703
Bad,thanos,100,Marvel Comics,100,Male,"200.7 cm • 6'7""",200,100,6,Titan,100,Eternal,100,1000000000,100,1000000000,"nigh-omnipotence,omnipresence,omniscience",9,Earth-616,446.8 kg • 985.03 lbs,combat96to100,durability100,height0-5,intelligence96to100,level6,power96to100,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier9,weight1-1000,Thanos (Astral Regulator),https://static.wikia.nocookie.net/villains/images/0/04/QuestionMark.png/revision/latest/scale-to-width-down/95?cb=20190713004703
Bad,thanos,90,Marvel Comics,100,Male,"251 cm • 8'2.8""",170,85,5,Presumably Acheron,100,Eternal,100,1000000000,100,1000000000,"berserkmode,bloodlust,coldresistance,deathmanipulation,dexterity,durability,electricityresistance,endurance,energyabsorption,energyblasts,energymanipulation,energyresistance,enhancedhearing,enhancedmemory,enhancedsight,enhancedsmell,enhancedtouch,fireresistance,hacking,heatgeneration,heatresistance,jump,longevity,madnessmanipulation,possession,possessionresistance,powerabsorption,projection,radiationabsorption,reflexes,soulmanipulation,soulresistance,stamina,stealth,toxinanddiseaseresistance,acceleratedhealing,acidresistants,agility,astralprojection,causalityresistance,clairvoyanceresistance,corruptionresistance,cursemanipulation,curseresistance,deconstruction,dimensionaltravel,electricityabsorption,energyarmor,firecontrol,flight,forcefields,hellfireresistance,holyresistance,illusionresistance,immortality,invulnerability,levitation,magicresistance,matterabsorption,mattermanipulation,mindblast,mindcontrol,mindcontrolresistance,molecularmanipulation,paralysis,petrification,regeneration,telepathy,telepathyresistance,teleportation",6,Earth-1610,"1.27 ton • 2,804.28 lbs",combat86to90,durability100,height0-5,intelligence81to85,level5,power96to100,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier6,weight1001-5000,Thanos,https://static.wikia.nocookie.net/villains/images/0/04/QuestionMark.png/revision/latest/scale-to-width-down/95?cb=20190713004703
Bad,thanos,90,Marvel Comics,100,Male,"200.7 cm • 6'7""",170,85,6,Unknown,100,Eternal,100,1000000000,100,1000000000,"acceleratedhealing,astralprojection,berserkmode,bloodlust,clairvoyanceresistance,coldresistance,corruption,corruptionresistance,cursemanipulation,curseresistance,darkforcemanipulation,deathmanipulation,durability,electricityresistance,endurance,energyabsorption,energyarmor,energybeams,energyblasts,energymanipulation,energyresistance,enhancedhearing,enhancedmemory,enhancedsight,enhancedthievery,enhancedtouch,fireresistance,flight,forcefields,hacking,heatgeneration,heatresistance,illusionresistance,immortality,indomitablewill,insanity,intelligence,invulnerability,jawstrength,jump,levitation,lifemanipulation,madnessmanipulation,magicresistance,marksmanship,mastermartialartist,mastertactician,matterabsorption,mattermanipulation,mindcontrol,mindcontrolresistance,molecularmanipulation,omnilingualism,painsuppression,paralysis,portalcreation,possessionresistance,precognition,preparation,projection,purification,radiationimmunity,rageinducement,realitywarpingresistance,regeneration,resurrection,sealing,shockwavesgeneration,soulresistance,stamina,summoning,superspeed,superstrength,telepathy,telepathyresistance,teleportation,timemanipulationresistance,toxinanddiseaseresistance,vehicularmastery,weaponsmaster,zombiephysiology,accelerateddevelopment,adaptation,agility,astraltravel,aura,banish,bionics,chimanipulation,darkarts,dexterity,dimensionalawareness,dimensionaltravel,existenceerasureresistance,hellfireresistance,holyresistance,largesize,lasermanipulation,lightcontrol,longevity,magic,memorymanipulation,mindblast,mindtransfer,petrification,plasmamanipulation,possession,powerabsorption,powernullifier,powersense,pressurepoints,psionicpowers,radiationabsorption,reflexes,salvation,self-sustenance,separation,spaceflight",7,Earth-2149,446.79 kg • 985 lbs,combat86to90,durability100,height0-5,intelligence81to85,level6,power96to100,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier7,weight1-1000,Thanos (Zombified),https://static.wikia.nocookie.net/villains/images/0/04/QuestionMark.png/revision/latest/scale-to-width-down/95?cb=20190713004703
Good,thanos,80,Marvel Comics,40,Male,-,140,70,2,Titan,65,None,25,60,50,600000,"agility,berserkmode,coldresistance,durability,endurance,heatresistance,intelligence,reflexes,weaponsmaster,acceleratedhealing,fireresistance,jump,longevity,mastermartialartist,mastertactician,toxinanddiseaseresistance,indomitablewill,invulnerability,painsuppression",3,MCU,-,combat76to80,durability40,heighthuge,intelligence66to70,level2,power61to65,speed21to25,sv1-1000,strength46to50,sf100001-1000000,tier3,weightunknown,Thanos (What If...?),https://static.wikia.nocookie.net/villains/images/0/04/QuestionMark.png/revision/latest/scale-to-width-down/95?cb=20190713004703
Bad,thanos,100,Marvel Comics,100,Male,-,200,100,6,Unknown,100,Alien,100,1000000000,100,1000000000,"nigh-omnipotence,nigh-omnipresence,nigh-omniscience",8,Earth-616,-,combat96to100,durability100,heighthuge,intelligence96to100,level6,power96to100,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier8,weightunknown,Thanos (Quarry of Creation),https://static.wikia.nocookie.net/villains/images/0/04/QuestionMark.png/revision/latest/scale-to-width-down/95?cb=20190713004703
Neutral,thedeep,40,Dynamite Entertainment,15,Male,-,110,55,1,Unknown,35,Metahuman,25,50,13,500,"animalcontrol,stamina,telepathy,underwaterbreathing,acrobatics,agility,dexterity,endurance,invulnerability,jump,longevity,reflexes,toxinanddiseaseresistance,acceleratedhealing,regeneration",1,The Boys 2019,-,combat36to40,durability15,heighthuge,intelligence51to55,level1,power31to35,speed21to25,sv1-1000,strength11to15,sf1-1000,tier1,weightunknown,The Deep,https://static.wikia.nocookie.net/superheroes/images/d/db/The_Deep_%28The_Boys%29.jpeg/revision/latest/scale-to-width-down/250?cb=20230521001119
Bad,thanatos,90,Shueisha,100,Male,"192 cm • 6'3.6""",130,65,5,Unknown,90,God / Eternal,100,1000000000,100,1000000000,"acrobatics,agility,aura,coldresistance,durabilitynegation,extrasensoryperception,flight,godlyphysiology,heatresistance,immortality,mastermartialartist,moleculardissipation,molecularmanipulation,non-physicalinteraction,quantummanipulation,radiationimmunity,reflexes,regeneration,soulmanipulation,soulresistance,dimensionstorage,dimensionaltravel,electricityresistance,energyblasts,existenceerasureresistance,higherdimensionalmanipulation,holymanipulation,instinctivereaction,mindcontrol,paralysis,portalcreation,sensemanipulation,summoning,existenceerasure",7,Saint Seiya,88 kg • 194.01 lbs,combat86to90,durability100,height0-5,intelligence61to65,level5,power86to90,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier7,weight1-1000,Thanatos,https://static.wikia.nocookie.net/villains/images/0/0c/Thanatos_%28DC%29.jpg/revision/latest/scale-to-width-down/300?cb=20110921200846
Bad,tailung,100,Dreamworks,20,Male,-,140,70,2,Unknown,40,Animal,25,1000,25,1000,"acrobatics,agility,animalattributes,chimanipulation,coldresistance,dexterity,durability,endurance,intelligence,jump,mastermartialartist,mastertactician,naturalweapons,pressurepoints,reflexes,stamina,superspeed,superstrength,weaponsmaster,acceleratedhealing,berserkmode,enhancedcondition,enhancedhearing,enhancedsight,enhancedsmell,fireresistance,heatresistance,paralysis,vision-night,insanity",2,KFP,-,combat96to100,durability20,heighthuge,intelligence66to70,level2,power36to40,speed21to25,sv1-1000,strength21to25,sf1-1000,tier2,weightunknown,Tai Lung,https://static.wikia.nocookie.net/villains/images/5/51/Tai_lung_icon.png/revision/latest/scale-to-width-down/350?cb=20170722212228
Bad,tabuu,100,Nintendo,100,Male,-,200,100,5,Unknown,90,Energy,100,1000000000,100,1000000000,"energymanipulation,flight,forcefields,intelligence,interstellartravel,sizechanging,superspeed,superstrength,afterimagecreation,bodypuppetry,chainmanipulation,duplication,electrokinesis,explosionmanipulation,largesize,lasermanipulation,levitation,plasmamanipulation,realitywarping,resurrection,shapeshifting,spatialmanipulation,teleportation,vision-heat",7,Earth-616,-,combat96to100,durability100,heighthuge,intelligence96to100,level5,power86to90,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier7,weightunknown,Tabuu,https://static.wikia.nocookie.net/villains/images/e/eb/WingedTabuu.png/revision/latest/scale-to-width-down/350?cb=20181217044518
Bad,taskmaster,95,Marvel Comics,25,Male,"188 cm • 6'2""",120,60,1,Unknown,25,Human,25,100,10,400,"acrobatics,agility,durability,marksmanship,mastermartialartist,peakhumancondition,photographicreflexes,reflexes,stamina,stealth,adaptation,endurance,mastertactician,pressurepoints,weaponsmaster,powermimicry,powersuit,vehicularmastery",1,MAU,99.79 kg • 220 lbs,combat91to95,durability25,height0-5,intelligence56to60,level1,power21to25,speed21to25,sv1-1000,strength6to10,sf1-1000,tier1,weight1-1000,Taskmaster,https://static.wikia.nocookie.net/villains/images/f/f6/90AF3A93-09B7-4590-8EE5-B6AD83BDEE34.jpg/revision/latest/scale-to-width-down/350?cb=20180908141711
Neutral,terraxthetamer,75,Marvel Comics,100,Male,-,120,60,5,Unknown,100,Alien,100,1000000000,100,1000000000,"agility,coldresistance,cosmicawareness,dexterity,endurance,energyabsorption,energyresistance,enhancedhearing,enhancedmemory,fireresistance,flight,heatresistance,invulnerability,lightcontrol,magmamanipulation,mindcontrol,molecularmanipulation,powercosmic,projection,radiationimmunity,reflexes,shockwavesgeneration,stamina,superspeed,superstrength,supernaturalcondition,toxinanddiseaseresistance,weapon-basedpowers,weaponsmaster,acceleratedhealing,astralprojection,bullettime,creation,electricityresistance,entropyprojection,forcefields,immortality,longevity,mastertactician,mattermanipulation,mindcontrolresistance,ragepower,regeneration,resurrection,sizechanging,soulresistance,spaceflight,teleportation",6,Earth-616,-,combat71to75,durability100,heighthuge,intelligence56to60,level5,power96to100,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier6,weightunknown,Terrax The Tamer,https://static.wikia.nocookie.net/villains/images/f/f4/Terrax.jpg/revision/latest/scale-to-width-down/333?cb=20170212112848
Bad,t,60,Dark Horse Comics,15,Male,"186 cm • 6'1.2""",130,65,2,Unknown,25,Android,25,50,25,1500,"cyborgization,durability,enhancedmemory,indomitablewill,intelligence,painsuppression,radiationimmunity,self-sustenance,stamina,telepathyresistance,acidresistants,agility,bionics,dexterity,endurance,enhancedsight,fireresistance,heatresistance,inorganicphysiology,longevity,marksmanship,mastermartialartist,mastertactician,mindcontrolresistance,naturalarmor,perfectrecollection,photographicreflexes,preparation,roboticengineering,technopath/cyberpath,toxinanddiseaseresistance,vehicularmastery,vision-infrared,vision-microscopic,vision-night,vision-x-ray,weaponsmaster,accelerateddevelopment,adaptation,audiocontrol,corruptionresistance,electricityresistance,fearinducement,hacking,informationanalysis,instinctivereaction,mechanicalaptitude,statisticsamplification,underwaterbreathing",1,Terminator,176.9 kg • 390 lbs,combat56to60,durability15,height0-5,intelligence61to65,level2,power21to25,speed21to25,sv1-1000,strength21to25,sf1001-5000,tier1,weight1-1000,T-800,https://static.wikia.nocookie.net/villains/images/c/c2/Warning.gif/revision/latest/scale-to-width-down/95?cb=20190420195710
Bad,t,60,Dark Horse Comics,17,Male,-,150,75,1,Unknown,18,Cyborg,8,15,25,8000,"durability,intelligence,longevity,stamina,superspeed,superstrength,acceleratedhealing,acrobatics,agility,coldresistance,endurance,enhancedmemory,fireresistance,heatresistance,jump,mastertactician,reflexes,self-sustenance,stealth,technopath/cyberpath,toxinanddiseaseresistance,vision-night,vision-thermal,weapon-basedpowers,weaponsmaster,invulnerability,mindcontrolresistance,telepathyresistance,weaponcreation",1,Terminator,-,combat56to60,durability17,heighthuge,intelligence71to75,level1,power16to20,speed6to10,sv1-1000,strength21to25,sf5001-10000,tier1,weightunknown,T-3000,https://static.wikia.nocookie.net/villains/images/c/c2/Warning.gif/revision/latest/scale-to-width-down/95?cb=20190420195710
Bad,t,100,Dark Horse Comics,30,Unknown,-,200,100,2,Unknown,20,Robot,50,10000,30,100000,"intelligence,multiplelimbs,regeneration,superspeed,superstrength,bloodlust,dangersense,disguisemastery,echolocation,electricityabsorption,electricityresistance,electrokinesis,empgeneration,energyabsorption,energyarmor,energymanipulation,energyresistance,fireresistance,flight,fusion,jawstrength,jump,melting,metalmanipulation,powerabsorption,poweraugmentation,powermodification,powersense,radarsense,radiationcontrol,reactivepowerlevel,roboticengineering,self-destruction,self-sustenance,separation,shapeshifting,shockwavesgeneration,soundmanipulation,spatialawareness,stealth,surfacescaling,tentacles,vaporisingbeams,vision-infrared,vision-night,vision-thermal,wallcrawling,weaponcreation,weapon-basedpowers,weaponsmaster",2,Terminator,-,combat96to100,durability30,heighthuge,intelligence96to100,level2,power16to20,speed46to50,sv5001-10000,strength26to30,sf10001-100000,tier2,weightunknown,T-1000000,https://static.wikia.nocookie.net/villains/images/c/c2/Warning.gif/revision/latest/scale-to-width-down/95?cb=20190420195710
Bad,t,60,Dark Horse Comics,60,Male,"182.9 cm • 6'0""",145,75,2,Unknown,65,Android,19,35,25,5000,"durability,intelligence,marksmanship,regeneration,self-sustenance,shapeshifting,stamina,superspeed,superstrength,acceleratedhealing,adaptation,agility,dangersense,densitycontrol,dexterity,elasticity,endurance,enhancedsight,indomitablewill,invulnerability,jump,longevity,mastermartialartist,mastertactician,naturalarmor,naturalweapons,phasing,radiationimmunity,reflexes,stealth,technopath/cyberpath,toxinanddiseaseresistance,vehicularmastery,weaponcreation,weapon-basedpowers,weaponsmaster,electricityresistance",1,Terminator,147.4 kg • 324.96 lbs,combat56to60,durability60,height0-5,intelligence71to75,level2,power61to65,speed16to20,sv1-1000,strength21to25,sf1001-5000,tier1,weight1-1000,T-1000,https://static.wikia.nocookie.net/villains/images/c/c2/Warning.gif/revision/latest/scale-to-width-down/95?cb=20190420195710
Bad,t,80,Dark Horse Comics,30,Female,-,190,95,2,Unknown,40,Cyborg,17,30,25,37000,none,2,Terminator,149.7 kg • 330.03 lbs,combat76to80,durability30,heighthuge,intelligence91to95,level2,power36to40,speed16to20,sv1-1000,strength21to25,sf10001-100000,tier2,weight1-1000,T-X,https://static.wikia.nocookie.net/villains/images/c/c2/Warning.gif/revision/latest/scale-to-width-down/95?cb=20190420195710
Bad,t,100,Dark Horse Comics,25,Male,-,160,80,2,Unknown,40,Cyborg,20,40,25,5000,"acidresistants,adaptation,audiocontrol,cyborgization,durability,enhancedhearing,enhancedmemory,enhancedsight,fearinducement,fireresistance,hacking,indomitablewill,informationanalysis,intelligence,marksmanship,painsuppression,pressurepoints,radiationimmunity,roboticengineering,self-sustenance,stamina,telepathyresistance,vehicularmastery,vision-night,vision-x-ray,weaponsmaster,acceleratedhealing,agility,bionics,corruptionresistance,dexterity,disguisemastery,endurance,gadgetusage,heatresistance,inorganicphysiology,instinctivereaction,longevity,mastermartialartist,mastertactician,mechanicalaptitude,mindcontrolresistance,naturalarmor,perfectrecollection,photographicreflexes,statisticsamplification,technopath/cyberpath,toxinanddiseaseresistance,vision-microscopic,accelerateddevelopment,electricityresistance,underwaterbreathing",1,Terminator,199.6 kg • 440.04 lbs,combat96to100,durability25,heighthuge,intelligence76to80,level2,power36to40,speed16to20,sv1-1000,strength21to25,sf1001-5000,tier1,weight1-1000,T-850,https://static.wikia.nocookie.net/villains/images/c/c2/Warning.gif/revision/latest/scale-to-width-down/95?cb=20190420195710
Bad,tarn,85,Hasbro,55,Male,-,150,75,3,Unknown,80,Robot,100,1000000000,100,1000000000,none,4,Earth-616,-,combat81to85,durability55,heighthuge,intelligence71to75,level3,power76to80,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier4,weightunknown,Tarn,https://static.wikia.nocookie.net/villains/images/7/7a/Tarn_cyberverse.jpg/revision/latest/scale-to-width-down/350?cb=20230628132733
Bad,tarantula,100,Marvel Comics,15,Male,-,180,90,2,Mexico,25,Human,75,100000000,25,3000,"acrobatics,agility,apathy,corruption,corruptionresistance,venomousbite,coldresistance,endurance,heatresistance",2,Earth-616,-,combat96to100,durability15,heighthuge,intelligence86to90,level2,power21to25,speed71to75,sv10000001-100000000,strength21to25,sf1001-5000,tier2,weightunknown,Tarantula,https://static.wikia.nocookie.net/villains/images/4/41/Tarantula_MSM.webp/revision/latest?cb=20231026213124
Good,surge,50,Marvel Comics,15,Female,"170.2 cm • 5'7""",120,60,2,"Tokyo, Japan",50,Human,25,224,1,100,"electricityabsorption,stamina,agility,electricityresistance,electrokinesis,energyconstructs",2,Earth-616,62.14 kg • 137 lbs,combat46to50,durability15,height0-5,intelligence56to60,level2,power46to50,speed21to25,sv1-1000,strength1to5,sf1-1000,tier2,weight1-1000,Surge,https://static.wikia.nocookie.net/superheroes/images/c/c9/Surge.jpg/revision/latest/scale-to-width-down/200?cb=20231102175809
Bad,thebeast,100,None,30,Unknown,-,120,60,2,Unknown,40,None,25,50,25,2000,"acrobatics,durability,endurance,mastermartialartist,peakhumancondition,stamina,superspeed,superstrength,agility,animalattributes,dexterity,jump,reflexes,stealth,mastertactician",1,Earth-616,-,combat96to100,durability30,heighthuge,intelligence56to60,level2,power36to40,speed21to25,sv1-1000,strength21to25,sf1001-5000,tier1,weightunknown,The Beast (Kung Fu Hustle),https://static.wikia.nocookie.net/villains/images/4/45/The_Beast_%28Bug_Fables%29.png/revision/latest/scale-to-width-down/350?cb=20201026134846
