title,species,home_world,body,abilities,first_appearance,img_links,character_type
Uprigg,"½,Planchaküle,½,Galvanic Mechamorph",No info,Technological Gremlin,"Technological Enhancement,Technological Disassembly,Technological Repairment,Technological Modification,Enhanced Intelligence,Elasticity",Let's Do the Time War Again,https://static.wikia.nocookie.net/ben10/images/7/7f/UpRigg.png/revision/latest?cb=20141129045029,Hero
Vomit Man,"Perk,Gourmand","Peptos XI,(,Dimension 23,)","Amoeba-like Humanoid,","Prehensile Tongues,Mouth Expansion,Solid Matter Ingestion,Energy Ingestion,Explosive Vomit,Explosive Vomit Propulsion,Strong Teeth,Swarm Gastronomy,Enhanced Durability,Enhanced Speed,Enhanced Reflexes,Space Survivability,Enhanced Stomach Capacity,Slime Spit,Acid Spit",And Then There Was Ben,https://static.wikia.nocookie.net/ben10/images/2/2c/Vomit_Man.png/revision/latest?cb=20230917025222,Hero
Walkatrout,Ickthyperambuloid,Gilli-Perambulous Promenade,Fish,"Slippery Body,Enhanced Agility,Enhanced Acrobatics,Enhanced Durability,Strong Tail,Underwater Breathing,Corruptura,Immunity",Outbreak,https://static.wikia.nocookie.net/ben10/images/a/a8/20211.png/revision/latest?cb=20200522085205,Hero
Water Hazard,Orishan,Kiusana,Humanoid Mollusk,"Hydrokinesis,Water Blasts,Water Absorption,Moisture Absorption,Water Whips,Hydrokinetic Propulsion,Nigh-Invulnerable Exoskeleton,Enhanced Strength,Enhanced Jumping,Underwater Breathing,Radiation Immunity,Water Cushion,Enhanced Intelligence,Technological Expertise",Too Hot to Handle,https://static.wikia.nocookie.net/ben10/images/e/e0/46880c.png/revision/latest?cb=20200526123253,Hero
Way Big (Classic),To'kustar,No info,Giant Humanoid,"Cosmic Rays,Enhanced Strength,Shock Wave Generation,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Speed,Water Vortex Generation,(via Enhanced Speed),Enhanced Reflexes,Space Survivability,Codon Stream Resistance,Size Alteration",Ben 10: Secret of the Omnitrix,https://static.wikia.nocookie.net/ben10/images/d/d4/Way_Big_OV_Artwork.PNG/revision/latest?cb=20231206011944,Hero
Whampire,Vladat,"Anur Vladias,(native; formerly),Anur Transyl",Humanoid Vampire,"Hypnosis,Hypnosis Resistance,Corruptura,Projectiles,Energy Absorption,Life Force Draining,Sonic Explosions,Space Survivability,Smoke Mimicry,Bat Transformation,Flight,X-Ray Vision,Night Vision,Sharp Fangs,Sharp Claws,Prehensile Feet,Quadrupedalism,Enhanced Strength,Enhanced Durability,Enhanced Agility,Enhanced Reflexes,Enhanced Speed,(via Flight and/or Quadrupedalism),Enhanced Stamina,Enhanced Jumping,Via Corrupturas:,Object Possession,Undead Possession",The Vampire Strikes Back,https://static.wikia.nocookie.net/ben10/images/7/7a/Whampire_facebook_profileT.png/revision/latest?cb=20171022040815,Hero
Wildmutt,Vulpimancer,Vulpin,Animalistic,"Sightless Sensing,Enhanced Smelling,Enhanced Hearing,Sharp Teeth,Sharp Claws,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Speed,Enhanced Agility,Enhanced Reflexes,Enhanced Digging,Ice/Cold Immunity,Hazardous Waste Immunity,Nightmarish Face Immunity,Wall Scaling,Prehensile Feet,Bipedalism,Quill Projection,(Adulthood)",And Then There Were 10,https://static.wikia.nocookie.net/ben10/images/4/4f/Wildmutt_OV.png/revision/latest?cb=20200509204106,Hero
Wildvine (Classic),Florauna,Flors Verdance,Humanoid Plant,"Chlorokinesis,Vine Tendrils,Vine Swinging,Vine Ensnarement,Fruit Pods,Explosion Generation,(via Fruit Pods),Smoke Generation,(via Fruit Pods),Vine Generation,(via Fruit Pods),Body Alteration,Whip Arms,(via Body Alteration),Thorn Generation,Regeneration,Elasticity,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Speed,(via Vine Swinging),Enhanced Reflexes,Enhanced Digging,Flame Retardant Immunity,Corruptura,Resistance,Closeable Flytrap,Sentient Plant Communication,Whip Tendrils,Thorn Projection,Plant Merging",Camp Fear,https://static.wikia.nocookie.net/ben10/images/2/23/OmniverseWildvine.png/revision/latest?cb=20140526205023,Hero
Windy-Hindy,Chronosapien,"Unknown,(,Dimension 23,)",Robotic,"Chronokinesis,Chrono-Dynakinesis,Chronoportation,Chronopathy,Time Rays,Time Waves,Time Acceleration,Time Reduction,Time Freezing,Age Acceleration,Age Reversal,Time Portal Creation,Temporal Duplication,Temporal Consciousness Inversion,Retrocognitive Projections,Individual Time Reversal,Individual Time Freezing,Individual Timeline Relocation,Space Survivability,Enhanced Strength,Enhanced Durability,Enhanced Reflexes,360° Rotating Head,360° Rotating Head Key",No info,https://static.wikia.nocookie.net/ben10/images/f/fc/Windy-Hindy.png/revision/latest?cb=20200609080759,Hero
XLR8 (Classic),Kineceleran,Kinet,Humanoid Velociraptor,"Tribokinesis,Enhanced Speed,Enhanced Agility,Enhanced Reflexes,Vortex Generation,(via Enhanced Speed),Water Vortex Generation,(via Enhanced Speed),Fire Vortex Generation,(via Enhanced Speed),Speed Rotation,Speed Kicking,Speed Cutting,Sharp Claws,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Accelerated Thinking,Heat Resistance,Wall Scaling,Water Running,Prehensile Tail,Retractable Visor",And Then There Were 10,https://static.wikia.nocookie.net/ben10/images/5/57/XLR8_OV2.png/revision/latest?cb=20140722155203,Hero
